Legislation Name,Congress ,Month-Day H,Month-Day S,Year,Bill,Vote # H,Vote # S,Description/Notes,Supports Free Trade,House,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party H,Bipartisanship Score (H),% of Dem vote Free Trade,% of Rep vote Free Trade,Senate,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party S,Bipartisanship Score (S),% of Dem vote Free Trade,% of Rep vote Free Trade,Source,voteview link,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,% of Dem vote Free Trade,% of Rep vote Free Trade,,,Year,% of Dem vote Free Trade,% of Rep vote Free Trade,,,,,,,,,,,,,,,,,,,,,
1875,0,0.74,,,1884,0.77,0.05,,,,,,,,,,,,,,,,,,,,,
1888,1,0,,,1888,0.975,0.02,,,,,,,,,,,,,,,,,,,,,
1890,1,0,,,1890,0.99,0.012,,,,,,,,,,,,,,,,,,,,,
1894,0.98,0,,,1894,0.92,0,,,,,,,,,,,,,,,,,,,,,
1897,0.960,0.026,,,1897,0.96,0,,,,,,,,,,,,,,,,,,,,,
1909,0.970,0.170,,,1909,0.98,0.005,,,,,,,,,,,,,,,,,,,,,
1913,0.95,0.027,,,1913,0.98,0.038,,,,,,,,,,,,,,,,,,,,,
1922,0.91,0.1,,,1922,0.92,0.08,,,,,,,,,,,,,,,,,,,,,
1930,0.79,0.098,,,1930,0.870,0.047,,,,,,,,,,,,,,,,,,,,,
1934,0.91,0.15,,,1934,0.961,0.019,,,,,,,,,,,,,,,,,,,,,
1937,0.86,0,,,1937,0.962,0.036,,,,,,,,,,,,,,,,,,,,,
1940,0.67,0.15,,,1940,0.914,0.033,,,,,,,,,,,,,,,,,,,,,
1943,0.83,0.56,,,1943,0.947,0.730,,,,,,,,,,,,,,,,,,,,,
1945,0.88,0.48,,,1945,0.940,0.191,,,,,,,,,,,,,,,,,,,,,
1948,0.575,0.98,,,1948,0.108,0.973,,,,,,,,,,,,,,,,,,,,,
1949,0.98,0.45,,,1949,0.975,0.571,,,,,,,,,,,,,,,,,,,,,
1951,1,0.94,,,1951,0.205,0.376,,,,,,,,,,,,,,,,,,,,,
1954,0.97,0.94,,,1953,0.953,0.877,,,,,,,,,,,,,,,,,,,,,
1955,0.86,0.85,,,1954,0.917,0.764,,,,,,,,,,,,,,,,,,,,,
1958,0.86,0.82,,,1955,0.842,0.595,,,,,,,,,,,,,,,,,,,,,
1962,0.98,0.65,,,1958,0.825,0.694,,,,,,,,,,,,,,,,,,,,,
1984,1,1,,,1984,1.000,0.990,,,,,,,,,,,,,,,,,,,,,
1988,0.86,0.95,,,1985,1,1,,,,,,,,,,,,,,,,,,,,,
1991,0.48,0.88,,,1988,0.876,0.939,,,,,,,,,,,,,,,,,,,,,
1993,0.49,0.77,,,1991,0.347,0.870,,,,,,,,,,,,,,,,,,,,,
2003,0.47,0.7425,,,1993,0.585,0.867,,,,,,,,,,,,,,,,,,,,,
2004,0.75,0.93,,,1993,0.395,0.754,,,,,,,,,,,,,,,,,,,,,
2005,0.24,0.78,,,1998,0.145,0.68,,,,,,,,,,,,,,,,,,,,,
2006,0.285,0.9,,,2000,0.5965,0.383,,,,,,,,,,,,,,,,,,,,,
2007,0.65,0.98,,,2001,0.1,0.894,,,,,,,,,,,,,,,,,,,,,
2011,0.57,0.9766666667,,,2003,0.37,0.8795,,,,,,,,,,,,,,,,,,,,,
2020,0.83,0.98,,,2004,0.590,0.906,,,,,,,,,,,,,,,,,,,,,
2022,0,0,,,2005,0.331,0.913,,,,,,,,,,,,,,,,,,,,,
2023,0.8,0.02,,,2006,0.44,0.852,,,,,,,,,,,,,,,,,,,,,
2025,1,0.058,,,2007,0.484,0.880,,,,,,,,,,,,,,,,,,,,,
,,,,,2008,0.956,0.03141361257,,,,,,,,,,,,,,,,,,,,,
,,,,,2011,0.275,0.950,,,,,,,,,,,,,,,,,,,,,
,,,,,2020,0.8354978355,0.9897435897,,,,,,,,,,,,,,,,,,,,,
,,,,,2022,0.500,0.348,,,,,,,,,,,,,,,,,,,,,
,,,,,2023,0.9417475728,0.03686635945,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2020,0.8354978355,0.9897435897,,,,,,,,,,,,,,,,,,,,,
,,,,,2022,1,0.6798029557,,,,,,,,,,,,,,,,,,,,,
,,,,,2022,0,0.01485148515,,,,,,,,,,,,,,,,,,,,,
,,,,,2023,0.9417475728,0.03686635945,,,,,,,,,,,,,,,,,,,,,
,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Partisanship Score (D-R),,,,,S Partisanship Score (D-R),,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
0.037,,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,
0.032,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,
0.02777777778,,,,,0.02777777778,,,,,,,,,,,,,,,,,,,,,,,
0.08333333333,,,,,0.08333333333,,,,,,,,,,,,,,,,,,,,,,,
0.2121212121,,,,,0.2121212121,,,,,,,,,,,,,,,,,,,,,,,
0.1515151515,,,,,0.1515151515,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
0.15,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,
0.5625,,,,,0.5625,,,,,,,,,,,,,,,,,,,,,,,
0.4838709677,,,,,0.4838709677,,,,,,,,,,,,,,,,,,,,,,,
0.575,,,,,0.575,,,,,,,,,,,,,,,,,,,,,,,
0.4545454545,,,,,0.4545454545,,,,,,,,,,,,,,,,,,,,,,,
0.9444444444,,,,,0.9444444444,,,,,,,,,,,,,,,,,,,,,,,
0.9714285714,,,,,0.9714285714,,,,,,,,,,,,,,,,,,,,,,,
0.847826087,,,,,0.847826087,,,,,,,,,,,,,,,,,,,,,,,
0.7872340426,,,,,0.7872340426,,,,,,,,,,,,,,,,,,,,,,,
0.6388888889,,,,,0.6388888889,,,,,,,,,,,,,,,,,,,,,,,
0.9743589744,,,,,0.9743589744,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
0.866,,,,,0.866,,,,,,,,,,,,,,,,,,,,,,,
0.8823529412,,,,,0.8823529412,,,,,,,,,,,,,,,,,,,,,,,
0.7727272727,,,,,0.7727272727,,,,,,,,,,,,,,,,,,,,,,,
0.7777777778,,,,,0.7777777778,,,,,,,,,,,,,,,,,,,,,,,
0.914893617,,,,,0.914893617,,,,,,,,,,,,,,,,,,,,,,,
0.478,,,,,0.478,,,,,,,,,,,,,,,,,,,,,,,
0.7575,,,,,0.7575,,,,,,,,,,,,,,,,,,,,,,,
0.2415,,,,,0.2415,,,,,,,,,,,,,,,,,,,,,,,
0.2915,,,,,0.2915,,,,,,,,,,,,,,,,,,,,,,,
0.9795918367,,,,,0.9795918367,,,,,,,,,,,,,,,,,,,,,,,
0.9786666667,,,,,0.9786666667,,,,,,,,,,,,,,,,,,,,,,,
0.8260869565,,,,,0.8260869565,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
0.9791666667,,,,,0.9791666667,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9791666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,